Fechas,Trimestre,Año,Mes,Día,Estación,Precios Bolsa,Precios Caja,Temp Max,Temp Min,Humedad,Precipitaciones,Masa ingreso Bolsa(T),Masa ingreso Caja(T),Incendio Forestal,Lluvias Intensas,Inundacion,Huaico,Fenomeno_Niño
2022-01-01,1,2022,enero,1,verano,1.19,1.47,31.7,21.2,,0,,,0,0,0,0,0
2022-01-02,1,2022,enero,2,verano,1.19,1.47,31.9,21.5,,,324,94,0,0,0,0,0
2022-01-03,1,2022,enero,3,verano,1.25,1.58,32.9,21.1,,,324,29,0,0,0,0,0
2022-01-04,1,2022,enero,4,verano,1.22,1.5,32.9,20,,,14,2,0,0,0,0,0
2022-01-05,1,2022,enero,5,verano,1.22,1.5,32.2,20.6,,,143,,0,0,0,0,0
2022-01-06,1,2022,enero,6,verano,1.25,1.55,31.3,19.2,,,929,95,0,0,0,0,0
2022-01-07,1,2022,enero,7,verano,1.25,1.5,31.3,20,,,543,30,0,0,0,0,0
2022-01-08,1,2022,enero,8,verano,1.25,1.52,33.5,21.4,,,,,0,0,0,0,0
2022-01-09,1,2022,enero,9,verano,1.25,1.52,32,21.7,,,291,60,0,0,0,0,0
2022-01-10,1,2022,enero,10,verano,1.25,1.55,32.8,20.6,,,1182,77,1,0,0,0,0
2022-01-11,1,2022,enero,11,verano,1.22,1.47,31.9,20,,,222,,0,0,0,0,0
2022-01-12,1,2022,enero,12,verano,1.22,1.47,31.5,20.2,,,6,,0,0,0,0,0
2022-01-13,1,2022,enero,13,verano,1.25,1.58,30.7,21.2,,,904,59,0,0,0,0,0
2022-01-14,1,2022,enero,14,verano,1.22,1.58,30.4,22.2,,,,,0,0,0,0,0
2022-01-15,1,2022,enero,15,verano,1.19,1.63,31.2,22.5,,,,,0,0,0,0,0
2022-01-16,1,2022,enero,16,verano,1.19,1.63,33.8,21.6,,,,,0,0,0,0,0
2022-01-17,1,2022,enero,17,verano,1.22,1.74,31.9,21.2,,,,,0,0,0,0,0
2022-01-18,1,2022,enero,18,verano,1.22,1.79,33.9,20.6,,,,,0,0,0,0,0
2022-01-19,1,2022,enero,19,verano,1.22,1.79,31.9,21.5,,,,,0,0,0,0,0
2022-01-20,1,2022,enero,20,verano,1.19,1.74,32.1,22.2,,,,,0,0,0,0,0
2022-01-21,1,2022,enero,21,verano,1.17,1.79,34.3,21.4,,,,,0,0,0,0,0
2022-01-22,1,2022,enero,22,verano,1.22,1.74,31.6,22.2,,,,,0,0,0,0,0
2022-01-23,1,2022,enero,23,verano,1.22,1.74,32.6,22.9,,,,,0,0,0,0,0
2022-01-24,1,2022,enero,24,verano,1.28,1.79,32.7,23,,,,,0,0,0,0,0
2022-01-25,1,2022,enero,25,verano,1.22,1.68,31.5,22.7,,,,,0,0,0,0,0
2022-01-26,1,2022,enero,26,verano,1.22,1.68,31.6,22.5,,,,,0,0,0,0,0
2022-01-27,1,2022,enero,27,verano,1.19,1.74,31.6,22,,,,,0,0,0,0,0
2022-01-28,1,2022,enero,28,verano,1.22,1.79,31.6,22.2,,,,,0,0,0,0,0
2022-01-29,1,2022,enero,29,verano,1.22,1.79,33,21.9,,,,,0,0,0,0,0
2022-01-30,1,2022,enero,30,verano,1.22,1.79,32,22.2,,,,,0,0,0,0,0
2022-01-31,1,2022,enero,31,verano,1.25,1.74,32.9,22.2,,,662,270,0,0,0,0,0
2022-02-01,1,2022,febrero,1,verano,1.19,1.58,32.8,22.6,,,137,,0,0,0,0,0
2022-02-02,1,2022,febrero,2,verano,1.19,1.58,33.3,21,,,2,,0,0,0,0,0
2022-02-03,1,2022,febrero,3,verano,1.19,1.47,32.2,20.7,,,584,20,0,0,0,0,0
2022-02-04,1,2022,febrero,4,verano,1.25,1.58,31.6,20.5,,,518,,0,0,0,0,0
2022-02-05,1,2022,febrero,5,verano,1.25,1.58,34.7,21.5,,,,,0,0,0,0,0
2022-02-06,1,2022,febrero,6,verano,1.25,1.58,31.6,21.5,,,234,89,0,0,0,0,0
2022-02-07,1,2022,febrero,7,verano,1.28,1.63,33.1,22,,,801,38,0,0,0,0,0
2022-02-08,1,2022,febrero,8,verano,1.22,1.52,31.6,22.4,,,22,25,0,0,0,0,0
2022-02-09,1,2022,febrero,9,verano,1.22,1.52,32.1,22.7,,,6,,0,0,0,0,0
2022-02-10,1,2022,febrero,10,verano,1.17,1.41,31.8,22.9,,,862,52,0,0,0,0,0
2022-02-11,1,2022,febrero,11,verano,1.14,1.41,32.6,21.5,,,583,32,0,0,0,0,0
2022-02-12,1,2022,febrero,12,verano,1.14,1.47,32.1,22.4,,,,,0,1,0,0,0
2022-02-13,1,2022,febrero,13,verano,1.14,1.47,32.4,22.2,,,196,70,0,1,0,0,0
2022-02-14,1,2022,febrero,14,verano,1.17,1.58,33.5,22.7,,,644,381,0,1,0,0,0
2022-02-15,1,2022,febrero,15,verano,1.14,1.52,32.2,23.1,,,55,35,0,1,0,0,0
2022-02-16,1,2022,febrero,16,verano,1.14,1.52,32.3,22.5,,,2,,0,1,1,0,0
2022-02-17,1,2022,febrero,17,verano,1.14,1.47,32.4,21,,,571,105,0,1,1,0,0
2022-02-18,1,2022,febrero,18,verano,1.14,1.47,32.5,21.6,,,397,62,0,1,1,1,0
2022-02-19,1,2022,febrero,19,verano,1.17,1.58,33.2,23.2,,,,,0,1,1,0,0
2022-02-20,1,2022,febrero,20,verano,1.17,1.58,32.5,20.5,,,166,150,0,1,1,0,0
2022-02-21,1,2022,febrero,21,verano,1.19,1.63,32.5,22.5,,,733,86,0,1,1,0,0
2022-02-22,1,2022,febrero,22,verano,1.17,1.52,33,23,,,129,2,0,1,1,0,0
2022-02-23,1,2022,febrero,23,verano,1.17,1.52,34.4,23.1,,,2,,1,1,0,0,0
2022-02-24,1,2022,febrero,24,verano,1.19,1.47,32.9,22.7,,,618,45,0,1,0,0,0
2022-02-25,1,2022,febrero,25,verano,1.19,1.47,32.6,22.7,,,479,59,0,1,0,0,0
2022-02-26,1,2022,febrero,26,verano,1.22,1.52,32.3,21.6,,,,,0,1,0,0,0
2022-02-27,1,2022,febrero,27,verano,1.22,1.52,33.3,22.2,,,252,32,0,1,1,0,0
2022-02-28,1,2022,febrero,28,verano,1.25,1.58,33.1,23,,,866,151,0,1,1,0,0
2022-03-01,1,2022,marzo,1,verano,1.22,1.47,34.2,21.3,,,92,,0,1,1,0,0
2022-03-02,1,2022,marzo,2,verano,1.22,1.47,32.5,22.5,,,2,,0,1,1,1,0
2022-03-03,1,2022,marzo,3,verano,1.17,1.41,34.2,23.2,,,757,28,0,1,1,1,0
2022-03-04,1,2022,marzo,4,verano,1.22,1.52,36,23.6,,,351,232,0,1,1,1,0
2022-03-05,1,2022,marzo,5,verano,1.22,1.52,34,23,,,,,0,1,1,0,0
2022-03-06,1,2022,marzo,6,verano,1.22,1.52,34.9,21.7,,,152,23,0,1,1,0,0
2022-03-07,1,2022,marzo,7,verano,1.25,1.58,33.7,23.4,,,722,54,0,1,1,0,0
2022-03-08,1,2022,marzo,8,verano,1.19,1.47,33.8,23.6,,,61,21,0,1,0,0,0
2022-03-09,1,2022,marzo,9,verano,1.19,1.47,33.7,24,,,2,,0,1,0,0,0
2022-03-10,1,2022,marzo,10,verano,1.17,1.41,34.4,22.5,,,817,31,0,1,0,0,0
2022-03-11,1,2022,marzo,11,verano,1.22,1.47,34,21.5,,,343,31,0,1,0,0,0
2022-03-12,1,2022,marzo,12,verano,1.22,1.47,35.2,22.7,,,,,0,1,0,0,0
2022-03-13,1,2022,marzo,13,verano,1.22,1.47,34.2,23,,,169,64,0,1,1,0,0
2022-03-14,1,2022,marzo,14,verano,1.28,1.74,33.1,23.7,,,903,108,0,1,1,0,0
2022-03-15,1,2022,marzo,15,verano,1.25,1.68,34.9,21.7,,,38,27,0,1,0,0,0
2022-03-16,1,2022,marzo,16,verano,1.25,1.68,33.6,22.6,,,3,1,0,1,0,0,0
2022-03-17,1,2022,marzo,17,verano,1.25,1.74,34,22.1,,,656,76,0,1,1,0,0
2022-03-18,1,2022,marzo,18,verano,1.25,1.74,33.1,22,,,343,91,0,1,0,0,0
